id,kind,title,pages,prerequisites,formal_status
1.1,Conjecture,Balanced-split conjecture,2,4.5,pending
1.2,Remark,Scope of optimality,3,,pending
2.1,Definition,Primitive certificate,3,,pending
2.2,Definition,Optimized ConPP,4,"2.1,EXT18",pending
2.3,Definition,s-composable certificate,4,,pending
2.4,Definition,OBS-S recursion,5,"2.3,EXT9",pending
2.5,Proposition,Treewise conjugacy and Bellman recursion,5,"2.2,2.4,EQ5,2.6",verified_scalar_model
2.6,Proposition,Kernel properties,6,KDEF,verified_scalar_model
3.1,Theorem,Sharp four-point rearrangement,6,"2.6,3.2,3.3,3.4",verified_scalar_model
3.2,Lemma,Sign of conjugate polynomial,7,"2.6,PDEF",verified_scalar_model
3.3,Lemma,Pairing-difference identity,7,"PDEF,QDEF",verified_scalar_model
3.4,Lemma,Quartic evaluation,7,"KDEF,QDEF",verified_scalar_model
4.1,Theorem,Abstract balanced-composition principle,8,,verified_scalar_model
4.2,Corollary,Balanced optimality and supercomposition,9,"2.5,2.6,3.1,4.1",verified_scalar_model
4.3,Lemma,All supercomposition equality cases,10,"2.6,3.1,4.2",verified_scalar_model
4.4,Corollary,Complete maximizing root-split set,10,"2.5,4.2,4.3",verified_scalar_model
4.5,Theorem,Resolution of Zhang-Jiang conjecture,11,"2.5,4.2,4.4",verified_scalar_model
4.6,Corollary,All optimal composition trees,11,"2.5,2.6,4.3,4.4",verified_scalar_model
ALG1,Algorithm,Binary evaluation and prefix invariant,12,"2.6,4.2",pending
5.1,Lemma,Silver power inequality,12,KDEF,verified_scalar_model
5.2,Proposition,Sharp power envelope; dyadic equality,12,"2.6,4.2,5.1",verified_scalar_model
5.3,Lemma,Adjacent-ratio contraction,13,"2.6,4.2,ALG1",verified_scalar_model
5.4,Theorem,Canonical bi-Lipschitz interpolation,13,"2.6,EQ21,5.3",verified_scalar_model
5.5,Theorem,Exact symmetric phase and uniqueness,14,"EQ21,5.2,5.4,DENSITY",verified_scalar_model
5.6,Remark,Certified minimum enclosure,14,"C.3,CERT17",pending
5.7,Corollary,Symmetric scalar and rate cluster intervals,14,"5.5,DENSITY",verified_scalar_model
5.8,Theorem,Tight objective-gap phase,16,"2.5,5.5,5.7,EXT18,EXT9",verified_scalar_model
5.9,Remark,Tightness and scope,16,"2.5,5.8,EXT18,EXT9",pending
6.1,Definition,f-composable certificate,16,,pending
6.2,Proposition,Reciprocal sandwich,17,"2.5,4.2,5.5,D.1,FREC,RAYS",verified_scalar_model
6.3,Theorem,Uniform OBS-F phase and cluster interval,18,"5.5,6.2,D.2,RAYS,DENSITY",verified_scalar_model
6.4,Lemma,Sharp support inequality; equality ratio,19,ADEF,verified_scalar_model
6.5,Theorem,Nonconstant phase; strict support separation,19,"6.3,D.3,D.6,D.7,D.8,D.9",verified_scalar_model
