paper_id,kind,description,pdf_page,status,proof_declarations,source_files,target_definition,scope_note
2.5,Proposition,Treewise conjugacy and Bellman recursion,5,verified_scalar_model,GD.proposition_2_5; GD.primitive_tree_optimum; GD.s_tree_optimum; GD.Tree.primitive_conjugacy; GD.Tree.s_conjugacy; GD.join_step_conjugacy; GD.objective_reciprocal,GD/Conjugacy.lean; GD/Objective.lean,,Complete scalar/tree conjugacy and attained optima. Smooth-convex GD certificate interfaces from the cited papers are not formalized.
2.6,Proposition,Kernel properties,6,verified_scalar_model,GD.rho_gt_two; GD.rho_sq; GD.K_continuous; GD.K_symm; GD.K_hom; GD.K_zero_left; GD.K_diag; GD.K_gt_sum; GD.K_strict_left; GD.K_strict_right; GD.K_ratio_bounds,GD/Kernel.lean; GD/KernelRatios.lean,,Domain assumptions and both strict ratio inequalities retained. K_gt_sum implies the displayed strict maximum comparison.
3.1,Theorem,Sharp four-point rearrangement,6,verified_scalar_model,GD.theorem_3_1,GD/Rearrangement.lean,,"Complete statement, or the explicitly documented equivalent formulation, proved over exact real/natural numbers."
3.2,Lemma,Sign of conjugate polynomial,7,verified_scalar_model,GD.lemma_3_2,GD/Algebra.lean,,"The sign identity is encoded equivalently as the negative/zero/positive trichotomy, with z strictly beyond both inner roots."
3.3,Lemma,Pairing-difference identity,7,verified_scalar_model,GD.lemma_3_3_first; GD.lemma_3_3_second,GD/Algebra.lean,,"Complete statement, or the explicitly documented equivalent formulation, proved over exact real/natural numbers."
3.4,Lemma,Quartic evaluation,7,verified_scalar_model,GD.lemma_3_4,GD/Algebra.lean,,"Complete statement, or the explicitly documented equivalent formulation, proved over exact real/natural numbers."
4.1,Theorem,Abstract balanced-composition principle,8,verified_scalar_model,GD.theorem_4_1,GD/Balanced.lean,,Operation laws are the original abstract hypotheses. silverLaw separately proves that the actual radical kernel satisfies them.
4.2,Corollary,Balanced optimality and supercomposition,9,verified_scalar_model,GD.corollary_4_2,GD/Balanced.lean,,"Complete statement, or the explicitly documented equivalent formulation, proved over exact real/natural numbers."
4.3,Lemma,All supercomposition equality cases,10,verified_scalar_model,GD.lemma_4_3,GD/Equality.lean,,"Complete statement, or the explicitly documented equivalent formulation, proved over exact real/natural numbers."
4.4,Corollary,Complete maximizing root-split set,10,verified_scalar_model,GD.corollary_4_4,GD/RootSplits.lean,,"Equivalent unified formula using 2^l*((nu±1)/2), avoiding natural subtraction in l-1. No extra optimizer is admitted."
4.5,Theorem,Resolution of Zhang-Jiang conjecture,11,verified_scalar_model,GD.theorem_4_5_balanced; GD.theorem_4_5_ties; GD.primitive_tree_optimum; GD.proposition_2_5,GD/Conjugacy.lean,,ConPP sums are represented by Tree.primitiveSum. Step indexing is n=N-1; the even tie theorem writes the positive valuation as l+1.
4.6,Corollary,All optimal composition trees,11,verified_scalar_model,GD.corollary_4_6; GD.optimal_tree_iff_patterns,GD/TreesAlgorithm.lean; GD/RootSplits.lean,,"Complete statement, or the explicitly documented equivalent formulation, proved over exact real/natural numbers."
5.1,Lemma,Silver power inequality,12,verified_scalar_model,GD.lemma_5_1,GD/SilverPower.lean,GD.Targets.lemma_5_1,"Full nonnegative real inequality and all equality cases, via a compact-interval calculus proof equivalent to the hyperbolic argument."
5.2,Proposition,Sharp power envelope; dyadic equality,12,verified_scalar_model,GD.proposition_5_2,GD/PowerEnvelope.lean,GD.Targets.proposition_5_2,"Full sharp power envelope and equality iff N is a power of two, for the actual recursive U."
5.3,Lemma,Adjacent-ratio contraction,13,verified_scalar_model,GD.lemma_5_3,GD/AdjacentRatios.lean,,All recurrence and contraction bounds proved; uses an algebraic mean bound instead of the paper derivative argument.
5.4,Theorem,Canonical bi-Lipschitz interpolation,13,verified_scalar_model,GD.theorem_5_4,GD/InterpolationRegularity.lean,GD.Targets.theorem_5_4,"The actual supremum-defined F is proved to interpolate the grid, be bi-Lipschitz with the exact constants, have the stated range and midpoint rule, and be unique."
5.5,Theorem,Exact symmetric phase and uniqueness,14,verified_scalar_model,GD.theorem_5_5,GD/PhaseTheorem.lean,GD.Targets.theorem_5_5,"Full positive periodic Lipschitz profile, exact identity, uniqueness, strict minimum bounds and maximum; includes the stated numerical expression for the Lipschitz constant."
5.7,Corollary,Symmetric scalar and rate cluster intervals,14,verified_scalar_model,GD.corollary_5_7,GD/ClusterPhase.lean,GD.Targets.corollary_5_7,"Both complete cluster intervals and nonconvergence, with actual strictly increasing integer subsequences."
5.8,Theorem,Tight objective-gap phase,16,verified_scalar_model,GD.theorem_5_8_scalar,GD/ObjectivePhase.lean,GD.Targets.theorem_5_8_scalar,"Full scalar phase identity, uniform explicit remainder and cluster interval. Smooth-convex GD worst-case tightness is still an external certificate input."
6.2,Proposition,Reciprocal sandwich,17,verified_scalar_model,GD.proposition_6_2,GD/Proposition62.lean,GD.Targets.proposition_6_2,"Finite-N sandwich, actual Bellman doubling, dyadic-ray convergence and exact phase bounds proved. No imported asymptotic axiom."
6.3,Theorem,Uniform OBS-F phase and cluster interval,18,verified_scalar_model,GD.theorem_6_3,GD/OBSInterpolation.lean,GD.Targets.theorem_6_3,"Actual piecewise affine logarithmic interpolants, uniform phase limit, exact Lipschitz constant, uniqueness, rays and full cluster interval."
6.4,Lemma,Sharp support inequality; equality ratio,19,verified_scalar_model,GD.lemma_6_4,GD/SharpSupport.lean,GD.Targets.lemma_6_4,"Actual infimum-defined interior root, uniqueness, sharp support bound and all positive and boundary equality cases proved."
6.5,Theorem,Nonconstant phase; strict support separation,19,verified_scalar_model,GD.theorem_6_5,GD/ContactPhase.lean,GD.Targets.theorem_6_5,"Strict minimum/support separation, nonconstancy, distinct minimum and maximum and the upper support enclosure."
B.1,Theorem,Number of optimal plane trees,24,verified_scalar_model,GD.theorem_B_1,GD/TreeCounts.lean,,"Actual finite enumeration of all optimal plane trees, root-class disjointness, cardinal recurrence, dyadic, odd and even-odd-part formulas proved."
C.1,Theorem,Derivative products and one-sided derivatives,28,verified_scalar_model,GD.theorem_C_1,GD/DerivativeTheorem.lean,GD.Targets.theorem_C_1,"Integral representation, uniform slope and binary-product limits, actual infinite products, uniform absolute log tail, nondyadic differentiability/continuity and both dyadic expansions."
C.2,Corollary,Strict corner at 3/2,30,verified_scalar_model,GD.corollary_C_2,GD/CornerTheorem.lean,GD.Targets.corollary_C_2,Exact generated rational intervals for the radical recurrence; all square inequalities checked by the kernel. Strict left/right derivative separation and nondifferentiability proved.
C.3,Theorem,Nested finite phase-minimum certificates,31,verified_scalar_model,GD.theorem_C_3,GD/GridAlgorithm.lean,GD.Targets.theorem_C_3,"Nested finite-grid certificates, all gap bounds and convergence; explicit cached array algorithm and at most 30*2^k scalar operations in the documented real-RAM model. The optional level-17 printed decimals are not a Lean interval certificate."
D.1,Lemma,Local A-versus-K inequalities,32,verified_scalar_model,GD.lemma_D_1_upper; GD.lemma_D_1_lower,GD/Asymmetric.lean,,"Complete statement, or the explicitly documented equivalent formulation, proved over exact real/natural numbers."
D.2,Lemma,"Discrete modulus for U, W, C",32,verified_scalar_model,GD.lemma_D_2,GD/DiscreteModulus.lean,GD.Targets.lemma_D_2,"All three discrete increment/modulus bounds, retaining the stated constants and quantification over every admissible LF."
D.3,Proposition,Support barrier and exact deficit identity,33,verified_scalar_model,GD.proposition_D_3,GD/DeficitBounds.lean,GD.Targets.proposition_D_3,"Support barrier and C lower bound for actual W, exact deficit identity, and nonnegativity of every summand proved."
D.4,Lemma,Strict interior power envelope,34,verified_scalar_model,GD.lemma_D_4,GD/StrictEnvelope.lean,GD.Targets.lemma_D_4,Full strict interior envelope. A stronger explicit tent-deficit estimate is proved and passed to the continuous limit.
D.5,Lemma,Contact fraction and dyadic exclusion,34,verified_scalar_model,GD.lemma_D_5,GD/ContactFraction.lean,GD.Targets.lemma_D_5,"Both contact identities and all strict rational bounds proved using exact arithmetic, real powers and logarithms."
D.6,Theorem,Strict dyadic-ray separation,35,verified_scalar_model,GD.theorem_D_6,GD/ContactPhase.lean,GD.Targets.theorem_D_6,Strict separation of the dyadic-ray limit from the support constant.
